iter	Passed	Remaining
664	61350	123161
665	61442	123069
666	61535	122979
667	61617	122865
668	61696	122746
669	61800	122679
670	61884	122569
671	61965	122454
672	62057	122363
673	62166	122304
674	62243	122181
675	62324	122067
676	62410	121963
677	62504	121874
678	62595	121779
679	62689	121691
680	62783	121602
681	62889	121536
682	62998	121478
683	63079	121364
684	63175	121278
685	63272	121195
686	63352	121080
687	63441	120980
688	63545	120912
689	63630	120805
690	63712	120693
691	63795	120583
692	63893	120502
693	63988	120417
694	64071	120306
695	64159	120206
696	64238	120089
697	64325	119988
698	64400	119863
699	64496	119779
700	64609	119726
701	64692	119616
702	64774	119505
703	64856	119395
704	64942	119290
705	65027	119186
706	65365	119544
707	65426	119393
708	65483	119238
709	65548	119094
710	65644	119009
711	65720	118888
712	65792	118758
713	65907	118707
714	65980	118580
715	66057	118459
716	66141	118353
717	66215	118229
718	66290	118106
719	66357	117968
720	66432	117846
721	66507	117724
722	66591	117617
723	66652	117470
724	66714	117325
725	66788	117202
726	66850	117056
727	66907	116905
728	66972	116764
729	67042	116636
730	67097	116480
731	67163	116343
732	67233	116213
733	67293	116067
734	67375	115959
735	67436	115815
736	67517	115704
737	67581	115566
738	67654	115442
739	67710	115291
740	67768	115143
741	67857	115046
742	67929	114923
743	68008	114810
744	68076	114678
745	68147	114554
746	68225	114440
747	68282	114290
748	68336	114137
749	68399	113999
750	68463	113862
751	68526	113724
752	68581	113573
753	68640	113429
754	68708	113300
755	68775	113170
756	68839	113035
757	68915	112919
758	68971	112771
759	69035	112637
760	69094	112494
761	69159	112362
762	69218	112219
763	69286	112091
764	69341	111943
765	69416	111827
766	69473	111683
767	69537	111549
768	69616	111440
769	69690	111323
770	69751	111185
771	69826	111071
772	69894	110945
773	69956	110809
774	70018	110674
775	70083	110543
776	70151	110418
777	70251	110343
778	70340	110250
779	70430	110160
780	70540	110101
781	70612	109982
782	70696	109881
783	70789	109795
784	70874	109698
785	70949	109584
786	71034	109484
787	71098	109353
788	71166	109229
789	71240	109115
790	71309	108993
791	71388	108884
792	71460	108768
793	71546	108671
794	71631	108572
795	71720	108481
796	71801	108378
797	71910	108315
798	71981	108196
799	72053	108080
800	72120	107956
801	72196	107845
802	72279	107743
803	72382	107673
804	72444	107541
805	72525	107438
806	72611	107342
807	72707	107261
808	72788	107158
809	72866	107051
810	72941	106939
